station1,station2,distance
State St & Harrison St,Wilton Ave & Diversey Pkwy,4.866
State St & Harrison St,Wood St & North Ave,4.163
State St & Harrison St,Wood St & Division St,3.695
State St & Harrison St,State St & Van Buren St,0.223
State St & Harrison St,Streeter Dr & Illinois St,1.908
State St & Harrison St,Wabash Ave & Cermak Rd,1.518
State St & Harrison St,State St & Randolph St,0.745
State St & Harrison St,Wells St & Walton St,2.115
State St & Harrison St,State St & Kinzie St,1.079
State St & Harrison St,Wells St & Erie St,1.712
State St & Harrison St,Wabash Ave & Roosevelt Rd,0.553
State St & Harrison St,Wood St & Milwaukee Ave,3.819
State St & Harrison St,State St & Pearson St,1.659
State St & Harrison St,Western Ave & Winnebago Ave,4.773
State St & Harrison St,Wilton Ave & Belmont Ave,6.728
State St & Harrison St,Wentworth Ave & Archer Ave,1.543
State St & Harrison St,Wentworth Ave & 24th St,1.981
State St & Harrison St,Wells St & Polk St,0.443
State St & Harrison St,Theater on the Lake,4.504
State St & Harrison St,Stave St & Armitage Ave,5.026
State St & Harrison St,State St & Wacker Dr,0.913
State St & Harrison St,Wabash Ave & Grand Ave,1.447
State St & Harrison St,Western Ave & 21st St,4.304
State St & Harrison St,Wells St & Ohio St,1.715
State St & Harrison St,Wells St & 19th St,1.566
State St & Harrison St,Western Ave & Leland Ave,8.149
State St & Harrison St,Woodlawn Ave & 55th St,6.541
State St & Harrison St,Stetson Ave & South Water St,1.354
State St & Harrison St,Wallace Ave & 35th St,3.738
State St & Harrison St,Western Ave & 24th St,4.682
State St & Harrison St,Wood St & Grand Ave,3.414
State St & Harrison St,Wells St & Concord Ln,2.969
State St & Harrison St,Wells St & Evergreen Ave,2.91
State St & Harrison St,Western Ave & Division St,5.018
State St & Harrison St,Wood St & Taylor St,2.893
State St & Harrison St,Wabash Ave & 8th St,0.222
State St & Harrison St,Stockton Dr & Wrightwood Ave,5.256
State St & Harrison St,Wolcott Ave & Polk St,3.135
State St & Harrison St,Wolcott Ave & Lawrence Ave,8.284
Wilton Ave & Diversey Pkwy,Wood St & North Ave,2.603
Wilton Ave & Diversey Pkwy,Wood St & Division St,3.113
Wilton Ave & Diversey Pkwy,Wood St & Milwaukee Ave,3.173
Wilton Ave & Diversey Pkwy,Woodlawn Ave & 55th St,11.472
Wilton Ave & Diversey Pkwy,Wood St & Grand Ave,3.965
Wilton Ave & Diversey Pkwy,Wood St & Taylor St,5.435
Wilton Ave & Diversey Pkwy,Wolcott Ave & Polk St,5.718
Wilton Ave & Diversey Pkwy,Wolcott Ave & Lawrence Ave,3.417
Morgan St & 18th St,State St & Harrison St,2.313
Morgan St & 18th St,Wilton Ave & Diversey Pkwy,6.907
Morgan St & 18th St,Racine Ave & 18th St,0.292
Morgan St & 18th St,Wood St & North Ave,4.854
Morgan St & 18th St,Wood St & Division St,4.385
Morgan St & 18th St,Sheffield Ave & Kingsbury St,5.099
Morgan St & 18th St,Orleans St & Elm St,4.356
Morgan St & 18th St,Noble St & Milwaukee Ave,3.829
Morgan St & 18th St,Racine Ave & Congress Pkwy,2.143
Morgan St & 18th St,State St & Van Buren St,2.536
Morgan St & 18th St,Streeter Dr & Illinois St,4.154
Morgan St & 18th St,Wabash Ave & Cermak Rd,1.721
Morgan St & 18th St,State St & Randolph St,3.058
Morgan St & 18th St,Wells St & Walton St,4.299
Morgan St & 18th St,State St & Kinzie St,3.392
Morgan St & 18th St,Wells St & Erie St,3.9
Morgan St & 18th St,Ogden Ave & Chicago Ave,3.427
Morgan St & 18th St,Wabash Ave & Roosevelt Rd,1.95
Morgan St & 18th St,Wood St & Milwaukee Ave,4.51
Morgan St & 18th St,Sheffield Ave & Fullerton Ave,6.349
Morgan St & 18th St,Morgan St & Lake St,2.721
Morgan St & 18th St,State St & 16th St,1.453
Morgan St & 18th St,Racine Ave & Fullerton Ave,6.104
Morgan St & 18th St,Sheffield Ave & Willow St,5.221
Morgan St & 18th St,Museum Campus,2.418
Morgan St & 18th St,Orleans St & Merchandise Mart Plaza,3.011
Morgan St & 18th St,State St & Pearson St,4.46
Morgan St & 18th St,State St & Erie St,4.172
Morgan St & 18th St,Sedgwick St & Huron St,3.858
Morgan St & 18th St,Sheffield Ave & Addison St,7.867
Morgan St & 18th St,Sheffield Ave & Wellington Ave,7.106
Morgan St & 18th St,Western Ave & Winnebago Ave,5.463
Morgan St & 18th St,Wilton Ave & Belmont Ave,7.64
Morgan St & 18th St,Sedgwick St & North Ave,5.786
Morgan St & 18th St,Wentworth Ave & Archer Ave,1.443
Morgan St & 18th St,Wentworth Ave & 24th St,1.612
Morgan St & 18th St,Peoria St & Jackson Blvd,1.713
Morgan St & 18th St,Racine Ave & 13th St,0.796
Morgan St & 18th St,Sedgwick St & Webster Ave,5.982
Morgan St & 18th St,State St & 33rd St,2.651
Morgan St & 18th St,Southport Ave & Wellington Ave,6.968
Morgan St & 18th St,Southport Ave & Belmont Ave,6.86
Morgan St & 18th St,Paulina St & Diversey Pkwy,6.251
Morgan St & 18th St,Wells St & Polk St,2.338
Morgan St & 18th St,Theater on the Lake,6.75
Morgan St & 18th St,State St & 19th St,1.322
Morgan St & 18th St,State St & 35th St,2.849
Morgan St & 18th St,Stave St & Armitage Ave,5.717
Morgan St & 18th St,Ogden Ave & Race Ave,3.278
Morgan St & 18th St,Southport Ave & Wrightwood Ave,6.096
Morgan St & 18th St,State St & 29th St,2.371
Morgan St & 18th St,State St & Wacker Dr,3.226
Morgan St & 18th St,Wabash Ave & Grand Ave,4.06
Morgan St & 18th St,Western Ave & 21st St,1.902
Morgan St & 18th St,Prairie Ave & Garfield Blvd,5.862
Morgan St & 18th St,Paulina St & 18th St,0.917
Morgan St & 18th St,Normal Ave & Archer Ave,1.34
Morgan St & 18th St,St Clair St & Erie St,4.495
Morgan St & 18th St,Wells St & Ohio St,3.788
Morgan St & 18th St,Wells St & 19th St,1.235
Morgan St & 18th St,Racine Ave & Belmont Ave,7.095
Morgan St & 18th St,Southport Ave & Waveland Ave,7.418
Morgan St & 18th St,Southport Ave & Roscoe St,7.118
Morgan St & 18th St,Sheridan Rd & Montrose Ave,8.842
Morgan St & 18th St,Pine Grove Ave & Addison St,6.957
